Código,Descripción,Cantidad,Largo_mm,Ancho_mm,Espesor_mm,Material
TF3D-001,Lateral izquierdo,1,1000,500,18,Melamina blanca
TF3D-002,Lateral derecho,1,1000,500,18,Melamina blanca
TF3D-003,Base,1,764,500,18,Melamina blanca
TF3D-004,Tapa,1,764,500,18,Melamina blanca
TF3D-005,Fondo interior,1,964,764,18,Melamina blanca
TF3D-006,Entrepaño inferior,1,764,450,18,Melamina blanca
TF3D-007,Entrepaño medio,1,764,450,18,Melamina blanca
TF3D-008,Entrepaño superior,1,764,450,18,Melamina blanca
TF3D-009,División técnica,1,764,450,18,Melamina blanca
